geo_accession,sample name,run,assay type,avgspotlen,bases,bioproject,biosample,bytes,center name,consent,datastore filetype,datastore provider,datastore region,diet,experiment,gender,genetic_condition,instrument,librarylayout,libraryselection,librarysource,organism,platform,releasedate,create_date,version,source_name,sra study,strain,tissue,geo_accession (exp),strain/condition,age,sex,aligned pe reads,prepared for sequencing ,used in subset 1/2,age_days
GSM2132837,M0410,SRR3440728,Bisulfite-Seq,150,2044910850,PRJNA319643,SAMN04902286,882222735,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727125,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132837,C57BL/6,4,Male,18106563,D.A. Petkovich,1.0,120.0
GSM2132837,M0410,SRR3440729,Bisulfite-Seq,150,2013625650,PRJNA319643,SAMN04902286,822490499,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727125,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132837,C57BL/6,4,Male,18106563,D.A. Petkovich,1.0,120.0
GSM2132838,M0601,SRR3440730,Bisulfite-Seq,150,4534818000,PRJNA319643,SAMN04902287,2064865574,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727126,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132838,C57BL/6,6,Male,20464930,D.A. Petkovich,1.0,180.0
GSM2132839,M0603,SRR3440731,Bisulfite-Seq,150,2949583500,PRJNA319643,SAMN04902288,1228806921,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727127,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132839,C57BL/6,6,Male,29379522,D.A. Petkovich,2.0,180.0
GSM2132839,M0603,SRR3440732,Bisulfite-Seq,150,3483249000,PRJNA319643,SAMN04902288,1482947189,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727127,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132839,C57BL/6,6,Male,29379522,D.A. Petkovich,2.0,180.0
GSM2132840,M0604,SRR3440733,Bisulfite-Seq,150,3112351500,PRJNA319643,SAMN04902289,1334887714,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727128,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132840,C57BL/6,6,Male,14088292,D.A. Petkovich,1.0,180.0
GSM2132841,M0605,SRR3440734,Bisulfite-Seq,150,3495794400,PRJNA319643,SAMN04902290,1558019676,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727129,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132841,C57BL/6,6,Male,15733010,D.A. Petkovich,1.0,180.0
GSM2132842,M0606,SRR3440735,Bisulfite-Seq,150,3761793600,PRJNA319643,SAMN04902291,1693747299,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727130,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132842,C57BL/6,6,Male,17077286,D.A. Petkovich,1.0,180.0
GSM2132843,M0607,SRR3440736,Bisulfite-Seq,150,3924207300,PRJNA319643,SAMN04902292,1718658236,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727131,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132843,C57BL/6,6,Male,17724409,D.A. Petkovich,1.0,180.0
GSM2132844,M0608,SRR3440737,Bisulfite-Seq,150,2893458450,PRJNA319643,SAMN04902293,1243086936,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727132,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132844,C57BL/6,6,Male,13052944,D.A. Petkovich,1.0,180.0
GSM2132845,M0609,SRR3440738,Bisulfite-Seq,150,2892929250,PRJNA319643,SAMN04902294,1266992959,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727133,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:46:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132845,C57BL/6,6,Male,13157194,D.A. Petkovich,2.0,180.0
GSM2132846,M0610,SRR3440739,Bisulfite-Seq,150,3386796450,PRJNA319643,SAMN04902295,1461552466,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727134,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132846,C57BL/6,6,Male,15553740,D.A. Petkovich,2.0,180.0
GSM2132847,M0801,SRR3440740,Bisulfite-Seq,150,2993684250,PRJNA319643,SAMN04902296,1298401844,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727135,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132847,C57BL/6,8,Male,33830965,D.A. Petkovich,2.0,240.0
GSM2132847,M0801,SRR3440741,Bisulfite-Seq,150,4549520850,PRJNA319643,SAMN04902296,2157761252,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727135,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132847,C57BL/6,8,Male,33830965,D.A. Petkovich,2.0,240.0
GSM2132848,M0802,SRR3440742,Bisulfite-Seq,150,2797777950,PRJNA319643,SAMN04902297,1208573102,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727136,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,,C57BL/6,8,Male,26295670,D.A. Petkovich,1.0,240.0
GSM2132848,M0802,SRR3440743,Bisulfite-Seq,150,3021061650,PRJNA319643,SAMN04902297,1264896205,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727136,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,,C57BL/6,8,Male,26295670,D.A. Petkovich,1.0,240.0
GSM2132849,M0803,SRR3440744,Bisulfite-Seq,150,2676967050,PRJNA319643,SAMN04902298,1213489992,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727137,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132849,C57BL/6,8,Male,23481717,D.A. Petkovich,1.0,240.0
GSM2132849,M0803,SRR3440745,Bisulfite-Seq,150,2486228250,PRJNA319643,SAMN04902298,1041662806,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727137,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132849,C57BL/6,8,Male,23481717,D.A. Petkovich,1.0,240.0
GSM2132850,M0804,SRR3440746,Bisulfite-Seq,150,2888896200,PRJNA319643,SAMN04902299,1209031081,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727138,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:46:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132850,C57BL/6,8,Male,30299089,D.A. Petkovich,1.0,240.0
GSM2132850,M0804,SRR3440747,Bisulfite-Seq,150,3873648450,PRJNA319643,SAMN04902299,1687042624,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727138,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132850,C57BL/6,8,Male,30299089,D.A. Petkovich,1.0,240.0
GSM2132851,M0805,SRR3440748,Bisulfite-Seq,150,93970650,PRJNA319643,SAMN04902211,46168718,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727139,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:38:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132851,C57BL/6,8,Male,13206146,D.A. Petkovich,2.0,240.0
GSM2132851,M0805,SRR3440749,Bisulfite-Seq,150,3476970300,PRJNA319643,SAMN04902211,2208338889,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727139,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132851,C57BL/6,8,Male,13206146,D.A. Petkovich,2.0,240.0
GSM2132852,M0806,SRR3440750,Bisulfite-Seq,150,1639225050,PRJNA319643,SAMN04902212,719588918,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727140,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132852,C57BL/6,8,Male,19025474,D.A. Petkovich,1.0,240.0
GSM2132852,M0806,SRR3440751,Bisulfite-Seq,150,2864297400,PRJNA319643,SAMN04902212,1366748057,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727140,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132852,C57BL/6,8,Male,19025474,D.A. Petkovich,1.0,240.0
GSM2132853,M0807,SRR3440752,Bisulfite-Seq,150,2380794150,PRJNA319643,SAMN04902213,1007930461,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727141,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132853,C57BL/6,8,Male,22287579,D.A. Petkovich,1.0,240.0
GSM2132853,M0807,SRR3440753,Bisulfite-Seq,150,2561274000,PRJNA319643,SAMN04902213,1085465810,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727141,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132853,C57BL/6,8,Male,22287579,D.A. Petkovich,1.0,240.0
GSM2132854,M0808,SRR3440754,Bisulfite-Seq,150,2250501600,PRJNA319643,SAMN04902214,966711967,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727142,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132854,C57BL/6,8,Male,21589207,D.A. Petkovich,1.0,240.0
GSM2132854,M0808,SRR3440755,Bisulfite-Seq,150,2424095100,PRJNA319643,SAMN04902214,1027433937,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727142,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132854,C57BL/6,8,Male,21589207,D.A. Petkovich,1.0,240.0
GSM2132855,M0810,SRR3440756,Bisulfite-Seq,150,2746717800,PRJNA319643,SAMN04902215,1198455612,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727143,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132855,C57BL/6,8,Male,27283852,D.A. Petkovich,2.0,240.0
GSM2132855,M0810,SRR3440757,Bisulfite-Seq,150,3748121250,PRJNA319643,SAMN04902215,1772608042,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727143,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T13:02:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132855,C57BL/6,8,Male,27283852,D.A. Petkovich,2.0,240.0
GSM2132856,M10_7501,SRR3440758,Bisulfite-Seq,150,3421746600,PRJNA319643,SAMN04902216,1503819391,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727144,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132856,C57BL/6,10,Male,15519550,D.A. Petkovich,2.0,300.0
GSM2132857,M10_7502,SRR3440759,Bisulfite-Seq,150,3205543650,PRJNA319643,SAMN04902217,1402338583,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727145,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:46:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132857,C57BL/6,10,Male,14573875,D.A. Petkovich,2.0,300.0
GSM2132858,M10_7504,SRR3440760,Bisulfite-Seq,150,1719766950,PRJNA319643,SAMN04902218,708540798,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727146,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:43:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132858,C57BL/6,10,Male,17277829,D.A. Petkovich,1.0,300.0
GSM2132858,M10_7504,SRR3440761,Bisulfite-Seq,150,2104394700,PRJNA319643,SAMN04902218,894291992,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727146,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132858,C57BL/6,10,Male,17277829,D.A. Petkovich,1.0,300.0
GSM2132859,M10_7505,SRR3440762,Bisulfite-Seq,150,4268914800,PRJNA319643,SAMN04902219,1834374694,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727147,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:50:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132859,C57BL/6,10,Male,19494345,D.A. Petkovich,2.0,300.0
GSM2132860,M10_7506,SRR3440763,Bisulfite-Seq,150,3473531250,PRJNA319643,SAMN04902220,1566102318,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727148,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132860,C57BL/6,10,Male,15730526,D.A. Petkovich,1.0,300.0
GSM2132861,M10_7507,SRR3440764,Bisulfite-Seq,150,2798545350,PRJNA319643,SAMN04902221,1219246565,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727149,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132861,C57BL/6,10,Male,9508042,D.A. Petkovich,2.0,300.0
GSM2132862,M10_7508,SRR3440765,Bisulfite-Seq,150,3797810550,PRJNA319643,SAMN04902222,1718476991,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727150,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:49:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132862,C57BL/6,10,Male,17159242,D.A. Petkovich,1.0,300.0
GSM2132863,M10_7509,SRR3440766,Bisulfite-Seq,150,2576619300,PRJNA319643,SAMN04902223,1102525968,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727151,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132863,C57BL/6,10,Male,11554887,D.A. Petkovich,2.0,300.0
GSM2132864,M10_7510,SRR3440767,Bisulfite-Seq,150,3578423850,PRJNA319643,SAMN04902224,1573454190,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727152,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132864,C57BL/6,10,Male,16035771,D.A. Petkovich,1.0,300.0
GSM2132865,M1201,SRR3440768,Bisulfite-Seq,150,3225165450,PRJNA319643,SAMN04902225,1392157798,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727153,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132865,C57BL/6,12,Male,15501717,D.A. Petkovich,1.0,360.0
GSM2132866,M1202,SRR3440769,Bisulfite-Seq,150,3453029250,PRJNA319643,SAMN04902226,1667012789,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727154,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132866,C57BL/6,12,Male,16629117,D.A. Petkovich,2.0,360.0
GSM2132867,M1203,SRR3440770,Bisulfite-Seq,150,2991509400,PRJNA319643,SAMN04902227,1310889066,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727155,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:46:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132867,C57BL/6,12,Male,35833377,D.A. Petkovich,2.0,360.0
GSM2132867,M1203,SRR3440771,Bisulfite-Seq,150,4634398350,PRJNA319643,SAMN04902227,2253615125,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727155,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:50:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132867,C57BL/6,12,Male,35833377,D.A. Petkovich,2.0,360.0
GSM2132868,M1204,SRR3440772,Bisulfite-Seq,150,3863130450,PRJNA319643,SAMN04902228,1745409666,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727156,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132868,C57BL/6,12,Male,18362609,D.A. Petkovich,1.0,360.0
GSM2132869,M1205,SRR3440773,Bisulfite-Seq,150,2845018500,PRJNA319643,SAMN04902229,1232071748,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727157,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:46:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132869,C57BL/6,12,Male,25707650,D.A. Petkovich,2.0,360.0
GSM2132870,M1206,SRR3440774,Bisulfite-Seq,150,3311408850,PRJNA319643,SAMN04902230,1452872719,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727158,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132870,C57BL/6,12,Male,28453770,D.A. Petkovich,2.0,360.0
GSM2132870,M1206,SRR3440775,Bisulfite-Seq,150,4547128800,PRJNA319643,SAMN04902230,2151822105,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727158,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:51:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132870,C57BL/6,12,Male,28453770,D.A. Petkovich,2.0,360.0
GSM2132871,M1207,SRR3440776,Bisulfite-Seq,150,2462092950,PRJNA319643,SAMN04902231,1091530527,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727159,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132871,C57BL/6,12,Male,21292432,D.A. Petkovich,2.0,360.0
GSM2132871,M1207,SRR3440777,Bisulfite-Seq,150,2350551900,PRJNA319643,SAMN04902231,1082259929,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727159,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132871,C57BL/6,12,Male,21292432,D.A. Petkovich,2.0,360.0
